OrderID,CustomerLocation,Warehouse,OrderDate,DispatchDate,DeliveryDate,Distance_km,ModeOfTransport,ProductType,Quantity,Status
10001,Pune,Hyderabad_WH,2025-04-10,2025-05-13,2025-05-27,1520,Air,Machinery,378,In Transit
10002,Delhi,Bangalore_WH,2025-05-08,2025-05-18,2025-05-18,1261,Air,Groceries,63,Cancelled
10003,Lucknow,Delhi_WH,2025-05-09,2025-05-12,2025-06-01,1930,Ship,Toys,399,Pending
10004,Bangalore,Bangalore_WH,2025-04-25,2025-05-04,2025-05-09,652,Bike,Groceries,426,Pending
10005,Ahmedabad,Chennai_WH,2025-04-19,2025-05-06,2025-05-11,923,Ship,Machinery,44,Cancelled
10006,Hyderabad,Kolkata_WH,2025-04-21,2025-04-22,2025-05-27,28,Bike,Furniture,313,In Transit
10007,Delhi,Lucknow_WH,2025-05-02,2025-05-09,2025-06-05,93,Air,Books,144,Delivered
10008,Lucknow,Hyderabad_WH,2025-04-30,2025-05-14,2025-06-04,312,Bike,Books,59,In Transit
10009,Ahmedabad,Jaipur_WH,2025-04-12,2025-04-22,2025-05-23,50,Train,Apparel,326,Delivered
10010,Chennai,Mumbai_WH,2025-04-23,2025-05-05,2025-05-26,1955,Bike,Toys,163,Delivered
10011,Hyderabad,Delhi_WH,2025-04-25,2025-05-06,2025-05-16,775,Train,Machinery,477,Cancelled
10012,Lucknow,Mumbai_WH,2025-04-21,2025-04-26,2025-04-30,421,Air,Groceries,166,Delivered
10013,Hyderabad,Bangalore_WH,2025-04-19,2025-05-10,2025-05-23,324,Bike,Toys,286,In Transit
10014,Hyderabad,Bangalore_WH,2025-04-28,2025-05-01,2025-05-29,1087,Air,Groceries,189,Cancelled
10015,Hyderabad,Mumbai_WH,2025-04-21,2025-05-02,2025-06-06,1506,Ship,Pharma,377,In Transit
10016,Kolkata,Hyderabad_WH,2025-04-29,2025-05-10,2025-05-12,682,Truck,Pharma,245,Pending
10017,Mumbai,Hyderabad_WH,2025-05-05,2025-05-11,2025-06-08,1006,Bike,Apparel,403,Cancelled
10018,Jaipur,Jaipur_WH,2025-05-01,2025-05-17,2025-05-17,324,Bike,Pharma,108,Delivered
10019,Kolkata,Mumbai_WH,2025-04-10,2025-04-22,2025-05-30,621,Truck,Pharma,98,Pending
10020,Kolkata,Kolkata_WH,2025-05-06,2025-05-08,2025-05-10,1352,Air,Pharma,82,Delivered
10021,Bangalore,Jaipur_WH,2025-04-26,2025-04-26,2025-06-05,1627,Air,Machinery,227,Delivered
10022,Lucknow,Pune_WH,2025-04-26,2025-05-03,2025-05-14,2340,Train,Books,382,Delivered
10023,Delhi,Jaipur_WH,2025-04-29,2025-05-07,2025-05-20,2197,Bike,Groceries,213,Pending
10024,Kolkata,Bangalore_WH,2025-05-09,2025-05-19,2025-05-27,1050,Bike,Electronics,256,Delivered
10025,Jaipur,Lucknow_WH,2025-04-24,2025-04-26,2025-05-13,360,Truck,Electronics,280,Cancelled
10026,Mumbai,Delhi_WH,2025-05-09,2025-05-15,2025-05-27,7,Air,Pharma,190,Delivered
10027,Jaipur,Bangalore_WH,2025-05-04,2025-05-16,2025-05-19,1235,Train,Machinery,178,Cancelled
10028,Lucknow,Bangalore_WH,2025-05-03,2025-05-14,2025-06-02,1794,Train,Electronics,39,In Transit
10029,Delhi,Ahmedabad_WH,2025-04-28,2025-05-09,2025-05-14,1154,Bike,Toys,286,In Transit
10030,Mumbai,Delhi_WH,2025-04-15,2025-05-14,2025-05-29,596,Air,Furniture,104,Delivered
10031,Chennai,Ahmedabad_WH,2025-04-20,2025-05-01,2025-05-22,2289,Train,Electronics,461,Pending
10032,Lucknow,Delhi_WH,2025-04-12,2025-05-05,2025-06-02,2278,Air,Toys,495,Delivered
10033,Bangalore,Hyderabad_WH,2025-05-02,2025-05-17,2025-05-21,2348,Bike,Pharma,287,Cancelled
10034,Ahmedabad,Delhi_WH,2025-04-12,2025-05-05,2025-06-04,1499,Ship,Machinery,134,In Transit
10035,Chennai,Kolkata_WH,2025-04-23,2025-05-11,2025-06-02,40,Bike,Toys,175,Delivered
10036,Ahmedabad,Lucknow_WH,2025-04-11,2025-04-15,2025-06-05,599,Ship,Pharma,449,Pending
10037,Delhi,Pune_WH,2025-04-19,2025-05-04,2025-05-24,1648,Air,Furniture,426,Delivered
10038,Lucknow,Pune_WH,2025-05-01,2025-05-05,2025-06-05,1405,Air,Apparel,172,In Transit
10039,Jaipur,Jaipur_WH,2025-04-29,2025-05-04,2025-05-04,533,Truck,Furniture,422,Delivered
10040,Hyderabad,Delhi_WH,2025-05-09,2025-05-12,2025-05-27,2468,Bike,Apparel,214,Cancelled
10041,Hyderabad,Ahmedabad_WH,2025-04-30,2025-05-04,2025-05-05,925,Bike,Furniture,69,Cancelled
10042,Chennai,Bangalore_WH,2025-04-18,2025-04-20,2025-05-19,1141,Bike,Groceries,63,Delivered
10043,Kolkata,Lucknow_WH,2025-05-09,2025-05-10,2025-06-03,2235,Ship,Pharma,362,In Transit
10044,Pune,Chennai_WH,2025-04-17,2025-05-08,2025-05-13,897,Train,Furniture,129,Pending
10045,Jaipur,Chennai_WH,2025-05-03,2025-05-15,2025-06-06,1011,Truck,Pharma,364,Cancelled
10046,Hyderabad,Delhi_WH,2025-04-18,2025-04-30,2025-05-09,866,Air,Groceries,210,In Transit
10047,Jaipur,Mumbai_WH,2025-04-13,2025-05-03,2025-05-22,1410,Ship,Machinery,147,Pending
10048,Hyderabad,Hyderabad_WH,2025-04-15,2025-05-05,2025-05-29,1024,Air,Apparel,123,Pending
10049,Jaipur,Kolkata_WH,2025-04-19,2025-04-26,2025-05-08,457,Train,Electronics,42,Pending
10050,Kolkata,Jaipur_WH,2025-04-11,2025-05-08,2025-05-13,989,Train,Books,131,Pending
10051,Lucknow,Pune_WH,2025-05-01,2025-05-19,2025-05-22,438,Truck,Machinery,27,Pending
10052,Kolkata,Chennai_WH,2025-04-20,2025-05-10,2025-05-19,466,Ship,Furniture,462,Cancelled
10053,Bangalore,Lucknow_WH,2025-04-17,2025-04-24,2025-06-05,1683,Truck,Furniture,471,Cancelled
